Location Type,Incident Hour of Day,Incident Month,Offense Attempted or Completed,Number of Crimes,Year,Offense Type,Estimated Population,"Crime Rate (per 1,000)","Crime Rate (per 100,000)","Offense Rate (per 1,000)","Offense Rate (per 100,000)","Incident Rate (per 1,000)","Incident Rate (per 100,000)"
Residence/Home,Night,January,Attempted,1,2015,robbery,"5,468,388",0,0.02,0,0.02,0,0.02
Residence/Home,Night,January,Completed,15,2015,robbery,"5,468,388",0,0.27,0,0.27,0,0.27
Residence/Home,Night,February,Attempted,5,2015,robbery,"5,468,388",0,0.09,0,0.09,0,0.09
Residence/Home,Night,February,Completed,12,2015,robbery,"5,468,388",0,0.22,0,0.22,0,0.22
Residence/Home,Night,March,Attempted,1,2015,robbery,"5,468,388",0,0.02,0,0.02,0,0.02
Residence/Home,Night,March,Completed,15,2015,robbery,"5,468,388",0,0.27,0,0.27,0,0.27
Residence/Home,Night,April,Attempted,1,2015,robbery,"5,468,388",0,0.02,0,0.02,0,0.02
Residence/Home,Night,April,Completed,22,2015,robbery,"5,468,388",0,0.4,0,0.4,0,0.4
Residence/Home,Night,May,Attempted,1,2015,robbery,"5,468,388",0,0.02,0,0.02,0,0.02
Residence/Home,Night,May,Completed,22,2015,robbery,"5,468,388",0,0.4,0,0.4,0,0.4
Residence/Home,Night,June,Attempted,2,2015,robbery,"5,468,388",0,0.04,0,0.04,0,0.04
Residence/Home,Night,June,Completed,15,2015,robbery,"5,468,388",0,0.27,0,0.27,0,0.27
Residence/Home,Night,July,Attempted,7,2015,robbery,"5,468,388",0,0.13,0,0.13,0,0.13
Residence/Home,Night,July,Completed,26,2015,robbery,"5,468,388",0,0.48,0,0.48,0,0.48
Residence/Home,Night,August,Attempted,1,2015,robbery,"5,468,388",0,0.02,0,0.02,0,0.02
Residence/Home,Night,August,Completed,18,2015,robbery,"5,468,388",0,0.33,0,0.33,0,0.33
Residence/Home,Night,September,Attempted,2,2015,robbery,"5,468,388",0,0.04,0,0.04,0,0.04
Residence/Home,Night,September,Completed,11,2015,robbery,"5,468,388",0,0.2,0,0.2,0,0.2
Residence/Home,Night,October,Attempted,6,2015,robbery,"5,468,388",0,0.11,0,0.11,0,0.11
Residence/Home,Night,October,Completed,21,2015,robbery,"5,468,388",0,0.38,0,0.38,0,0.38
Residence/Home,Night,November,Attempted,3,2015,robbery,"5,468,388",0,0.05,0,0.05,0,0.05
Residence/Home,Night,November,Completed,14,2015,robbery,"5,468,388",0,0.26,0,0.26,0,0.26
Residence/Home,Night,December,Attempted,3,2015,robbery,"5,468,388",0,0.05,0,0.05,0,0.05
Residence/Home,Night,December,Completed,32,2015,robbery,"5,468,388",0.01,0.59,0.01,0.59,0.01,0.59
Residence/Home,Day,January,Attempted,0,2015,robbery,"5,468,388",,,,,,
Residence/Home,Day,January,Completed,24,2015,robbery,"5,468,388",0,0.44,0,0.44,0,0.44
Residence/Home,Day,February,Attempted,0,2015,robbery,"5,468,388",,,,,,
