﻿DATA_YEAR,AGENCY_ID,INCIDENT_ID,NIBRS_MONTH_ID,CARGO_THEFT_FLAG,SUBMISSION_DATE,INCIDENT_DATE,INCIDENT_Month,INCIDENT_DAY,REPORT_DATE_FLAG,INCIDENT_HOUR,DATA_HOME,ORIG_FORMAT,DID
2019,1843,119315957,8211278,N,43843,10/16/2019,October,16,,18,C,F,63267601
2019,1934,120342638,8188360,N,43872,7/18/2019,July,18,,17,C,F,65213951
2019,1934,119338351,8211346,N,43843,10/14/2019,October,14,,18,C,F,63306710
2019,1934,120347122,8196022,N,43872,8/9/2019,August,9,,17,C,F,65206501
2019,1895,119342240,8226637,N,43843,12/7/2019,December,7,,17,C,F,63299825
2019,2038,112287996,8173119,N,43635,5/22/2019,May,22,R,0,C,F,48575054
2019,1904,119326347,8195994,N,43843,8/16/2019,August,16,,0,C,F,63272862
2019,1904,119326131,8195994,N,43843,8/11/2019,August,11,,15,C,F,63272388
2019,1904,119326366,8195994,N,43843,8/20/2019,August,20,,11,C,F,63272910
2019,1904,119320952,8188332,N,43843,7/24/2019,July,24,,8,C,F,63269604
2019,1904,119326579,8195994,N,43843,8/22/2019,August,22,,23,C,F,63273325
2019,1904,119326756,8195994,N,43843,8/28/2019,August,28,,11,C,F,63271011
2019,1904,120325070,8203656,N,43872,9/6/2019,September,6,R,12,C,F,65182989
2019,1843,122116919,8211278,N,43906,10/16/2019,October,16,,9,C,F,68949473
2019,2057,117674284,8150148,N,43784,2/5/2019,February,5,,0,C,F,59960403
2019,2057,116814038,8142486,N,43754,1/27/2019,January,27,,0,C,F,58004463
2019,2057,119339415,8203782,N,43843,9/3/2019,September,3,R,0,C,F,63304484
2019,2057,119346401,8211444,N,43843,10/28/2019,October,28,R,0,C,F,63312037
2019,2057,119343664,8219106,N,43843,11/13/2019,November,13,,0,C,F,63304520
2019,2057,121208264,8226768,N,43887,12/16/2019,December,16,R,0,C,F,66914210
2019,2057,119339414,8196120,N,43843,8/2/2019,August,2,R,0,C,F,63304483
2019,2057,119343652,8211444,N,43843,10/20/2019,October,20,R,0,C,F,63312031
2019,2057,121199353,8219106,N,43887,11/12/2019,November,12,R,0,C,F,66917696
2019,2057,119339432,8203782,N,43843,9/10/2019,September,10,R,0,C,F,63304499
2019,2057,119339420,8188458,N,43843,7/17/2019,July,17,,0,C,F,63304489
2019,2057,119343655,8196120,N,43843,8/14/2019,August,14,R,0,C,F,63304512
2019,2057,121211839,8219106,N,43887,11/18/2019,November,18,,0,C,F,66922854
2019,2057,121211819,8150148,N,43887,2/14/2019,February,14,,0,C,F,66922820
2019,23111,114125133,8195373,N,43712,7/22/2019,July,22,,17,C,F,51794689
2019,23111,109094603,8157063,N,43557,2/15/2019,February,15,R,0,C,F,42692374
2019,1847,116807346,8188296,N,43754,7/26/2019,July,26,,6,C,F,57993867
2019,2042,112731708,8180784,N,43662,6/8/2019,June,8,,23,C,F,49324803
2019,1904,119309941,8195994,N,43843,8/6/2019,August,6,,22,C,F,63272078
2019,1904,119309775,8180670,N,43843,6/27/2019,June,27,,7,C,F,63269410
2019,1904,119320819,8195994,N,43843,8/2/2019,August,2,,21,C,F,63269430
2019,1904,119309912,8195994,N,43843,8/6/2019,August,6,,8,C,F,63269586
2019,1904,119310042,8195994,N,43843,8/1/2019,August,1,,8,C,F,63272211
2019,1904,120327100,8218980,N,43872,11/6/2019,November,6,,15,C,F,65174586
2019,1904,120325665,8203656,N,43872,9/14/2019,September,14,,17,C,F,65175605
2019,1904,120326807,8173008,N,43872,5/16/2019,May,16,R,15,C,F,65182564
2019,1904,120324953,8203656,N,43872,9/5/2019,September,5,,18,C,F,65182798
2019,1904,120325190,8226642,N,43872,12/7/2019,December,7,,21,C,F,65174674
2019,23111,112244962,8164725,N,43635,3/15/2019,March,15,R,0,C,F,48510277
2019,23111,112732543,8187711,N,43662,6/1/2019,June,1,,6,C,F,49329110
2019,23111,119340075,8226021,N,43843,11/25/2019,November,25,,9,C,F,63305543
2019,1954,118745542,8203700,N,43817,9/9/2019,September,9,R,0,C,F,62061036
2019,1954,114124281,8188376,N,43712,7/23/2019,July,23,R,0,C,F,51789856
2019,1954,112728261,8142404,N,43662,1/22/2019,January,22,R,0,C,F,49326759
2019,1954,112728190,8165390,N,43662,4/6/2019,April,6,R,0,C,F,49313841
2019,1954,112722438,8150066,N,43662,2/8/2019,February,8,R,0,C,F,49313847
2019,1954,112728202,8157728,N,43662,3/9/2019,March,9,R,0,C,F,49313846
2019,1954,112728228,8142404,N,43662,1/15/2019,January,15,R,0,C,F,49313862
2019,1954,114120167,8188376,N,43712,7/6/2019,July,6,R,0,C,F,51797484
2019,1954,112728230,8165390,N,43662,4/6/2019,April,6,R,0,C,F,49313860
2019,1954,112722463,8142404,N,43662,1/17/2019,January,17,R,0,C,F,49323702
2019,1954,112716041,8165390,N,43662,4/21/2019,April,21,R,0,C,F,49323759
2019,1954,113244465,8188376,N,43689,7/15/2019,July,15,R,0,C,F,50136531
2019,1904,120325175,8211318,N,43872,10/4/2019,October,4,,19,C,F,65174641
2019,1904,120327743,8203656,N,43872,9/14/2019,September,14,,17,C,F,65181337
2019,1904,120328036,8211318,N,43872,10/17/2019,October,17,,16,C,F,65184173
2019,1904,120325823,8218980,N,43872,11/19/2019,November,19,,1,C,F,65176068
2019,1904,120324979,8173008,N,43872,5/1/2019,May,1,,0,C,F,65174295
2019,1904,120331722,8226642,N,43872,12/8/2019,December,8,,0,C,F,65183089
2019,1904,119321588,8195994,N,43843,8/1/2019,August,1,,18,C,F,63269368
2019,1904,120327616,8203656,N,43872,9/14/2019,September,14,,10,C,F,65180972
2019,1954,114115955,8180714,N,43712,6/27/2019,June,27,R,0,C,F,51789868
2019,1954,112722454,8165390,N,43662,4/4/2019,April,4,,8,C,F,49326714
2019,1954,116813078,8142404,N,43754,1/8/2019,January,8,R,0,C,F,58003622
2019,1954,120347380,8226686,N,43872,12/25/2019,December,25,R,0,C,F,65214281
2019,1954,112716046,8165390,N,43662,4/23/2019,April,23,R,0,C,F,49326840
2019,1954,112728200,8165390,N,43662,4/7/2019,April,7,R,0,C,F,49326673
2019,1954,112728168,8157728,N,43662,3/2/2019,March,2,R,0,C,F,49323632
2019,1954,112716001,8142404,N,43662,1/8/2019,January,8,R,0,C,F,49326675
2019,1954,112728237,8150066,N,43662,2/17/2019,February,17,R,0,C,F,49326718
2019,1954,112716000,8150066,N,43662,2/1/2019,February,1,R,0,C,F,49326669
2019,1954,118755189,8203700,N,43817,9/28/2019,September,28,R,0,C,F,62061113
2019,1954,120347306,8226686,N,43872,12/3/2019,December,3,R,0,C,F,65214189
2019,1954,118749764,8203700,N,43817,9/11/2019,September,11,R,0,C,F,62061061
2019,1954,118749752,8203700,N,43817,9/8/2019,September,8,R,0,C,F,62066949
2019,1954,118745522,8203700,N,43817,9/5/2019,September,5,R,0,C,F,62066911
2019,1954,118745532,8203700,N,43817,9/6/2019,September,6,R,0,C,F,62065006
2019,1954,118745575,8211362,N,43817,10/29/2019,October,29,R,0,C,F,62065057
2019,1954,118745508,8219024,N,43817,11/10/2019,November,10,R,0,C,F,62060974
2019,1954,118745526,8203700,N,43817,9/6/2019,September,6,,0,C,F,62064997
2019,1954,120342723,8226686,N,43872,12/1/2019,December,1,R,0,C,F,65214162
2019,2098,107965298,8142518,N,43556,1/5/2019,January,5,,9,C,F,40856415
2019,2098,113241592,8173166,N,43689,5/31/2019,May,31,,11,C,F,50121927
2019,1904,119321615,8195994,N,43843,8/4/2019,August,4,,21,C,F,63271983
2019,1904,120325408,8218980,N,43872,11/8/2019,November,8,,18,C,F,65180282
2019,1904,120325959,8203656,N,43872,9/19/2019,September,19,,20,C,F,65176471
2019,1904,120327553,8211318,N,43872,10/9/2019,October,9,,17,C,F,65183587
2019,1904,120336227,8211318,N,43872,10/23/2019,October,23,,22,C,F,65187816
2019,2098,107999759,8150180,N,43556,2/25/2019,February,25,,18,C,F,40916934
2019,2098,107960787,8142518,N,43556,1/7/2019,January,7,,7,C,F,40848646
2019,2098,107965303,8142518,N,43556,1/15/2019,January,15,,23,C,F,40856418
2019,2098,118756414,8196152,N,43817,8/1/2019,August,1,,17,C,F,62072943
2019,2098,119339974,8226800,N,43843,12/4/2019,December,4,,11,C,F,63308125
2019,2098,119346642,8211476,N,43843,10/20/2019,October,20,,23,C,F,63312672
2019,1873,112240857,8165328,N,43635,4/18/2019,April,18,,22,C,F,48505120
2019,1873,117672450,8203638,N,43784,9/11/2019,September,11,,10,C,F,59953177
2019,1989,122127201,8226716,N,43906,12/4/2019,December,4,R,16,C,F,68964648
2019,1904,120327215,8226642,N,43872,12/9/2019,December,9,,12,C,F,65180033
2019,1904,120326808,8188332,N,43872,7/11/2019,July,11,,12,C,F,65182574
2019,1904,120324715,8203656,N,43872,9/1/2019,September,1,,0,C,F,65173867
2019,1904,120325712,8211318,N,43872,10/11/2019,October,11,,16,C,F,65175749
2019,1904,122115687,8195994,N,43906,8/2/2019,August,2,,11,C,F,68953137
2019,1904,122111027,8188332,N,43906,7/25/2019,July,25,,20,C,F,68962198
2019,1904,122110963,8195994,N,43906,8/2/2019,August,2,,22,C,F,68956997
2019,1904,122110995,8203656,N,43906,9/24/2019,September,24,,15,C,F,68962076
2019,1904,122115864,8188332,N,43906,7/27/2019,July,27,R,14,C,F,68953217
2019,1904,122115668,8180670,N,43906,6/1/2019,June,1,,4,C,F,68956979
2019,1904,122115738,8211318,N,43906,10/15/2019,October,15,R,15,C,F,68962045
2019,1904,122111056,8211318,N,43906,10/1/2019,October,1,,12,C,F,68962309
2019,1904,122110997,8211318,N,43906,10/17/2019,October,17,,12,C,F,68962080
2019,1873,119335404,8226624,N,43843,12/1/2019,December,1,,0,C,F,63299639
2019,2072,118756062,8188469,N,43817,7/18/2019,July,18,,6,C,F,62068367
2019,1940,112261444,8180703,N,43635,6/3/2019,June,3,R,16,C,F,48530427
2019,1940,116803307,8173041,N,43754,5/19/2019,May,19,,0,C,F,57976289
2019,2051,122129011,8226763,N,43906,12/21/2019,December,21,,0,C,F,68961540
2019,2051,122128948,8226763,Y,43906,12/23/2019,December,23,,10,C,F,68961460
2019,2051,122128848,8211439,N,43906,10/27/2019,October,27,,7,C,F,68956220
2019,2051,118743375,8219101,N,43817,11/26/2019,November,26,,5,C,F,62051558
